日期,时段,计划购电量_kWh,充电量_kWh,放电量_kWh,时段初储能_kWh,时段末储能_kWh,真实净负荷_kWh,紧急购电量_kWh,弃电量_kWh,能量平衡残差_kWh
2025-04-11,6:10-6:20,0.0,0.0,349.9784658719356,3513.579306186825,3124.7143441068965,337.0011166666667,0.0,12.977349205268922,0.0
2025-04-11,6:20-6:30,0.0,0.0,328.625415244309,3124.7143441068965,2759.574993835442,270.91583333333335,0.0,57.70958191097566,0.0
2025-04-11,6:30-6:40,0.0,0.0,247.46615602235772,2759.574993835442,2484.6125982550448,208.21595000000002,0.0,39.2502060223577,0.0
2025-04-11,6:40-6:50,0.0,0.0,246.98250493505995,2484.6125982550448,2210.1875927716446,170.27024999999998,0.0,76.71225493505997,0.0
2025-04-11,6:50-7:00,0.0,0.0,266.61735241641026,2210.1875927716446,1913.9460900867443,142.7266666666667,0.0,123.89068574974357,0.0
2025-04-11,7:00-7:10,0.0,0.0,205.82744897976943,1913.9460900867443,1685.2489245536672,90.35834999999997,0.0,115.46909897976946,0.0
2025-04-11,7:10-7:20,0.0,0.0,130.27546079719346,1685.2489245536672,1540.4984125567855,33.35256666666669,0.0,96.92289413052677,0.0
2025-04-11,7:20-7:30,0.0,0.0,101.08279222969405,1540.4984125567855,1428.1841989682366,-30.956249999999955,0.0,132.03904222969402,0.0
2025-04-11,7:30-7:40,0.0,0.0,102.61981355183892,1428.1841989682366,1314.1621839106379,-115.20784999999995,0.0,217.82766355183887,0.0
2025-04-11,7:40-7:50,0.0,0.0,76.51289665237945,1314.1621839106379,1229.147854296883,-130.07588333333337,0.0,206.58877998571282,0.0
2025-04-11,7:50-8:00,0.0,0.0,26.23306886719466,1229.147854296883,1200.0,-108.37250000000006,0.0,134.60556886719473,0.0
2025-04-11,8:00-8:10,0.0,-0.0,0.0,1200.0,1200.0,-175.7314,0.0,175.7314,0.0
2025-04-11,8:10-8:20,0.0,-0.0,0.0,1200.0,1200.0,-242.20083333333332,0.0,242.20083333333332,0.0
2025-04-11,8:20-8:30,0.0,-0.0,0.0,1200.0,1200.0,-282.38583333333327,0.0,282.38583333333327,0.0
2025-04-11,8:30-8:40,0.0,0.0,0.0,1200.0,1200.0,-352.64583333333326,0.0,352.64583333333326,0.0
2025-04-11,8:40-8:50,0.0,-0.0,0.0,1200.0,1200.0,-362.1777166666667,0.0,362.1777166666667,0.0
2025-04-11,8:50-9:00,0.0,-0.0,0.0,1200.0,1200.0,-321.7520833333334,0.0,321.7520833333334,0.0
2025-04-11,9:00-9:10,0.0,0.0,0.0,1200.0,1200.0,-342.7150833333334,0.0,342.7150833333334,0.0
2025-04-11,9:10-9:20,0.0,-0.0,0.0,1200.0,1200.0,-383.33888333333323,0.0,383.33888333333323,0.0
2025-04-11,9:20-9:30,0.0,-0.0,0.0,1200.0,1200.0,-438.53874999999994,0.0,438.53874999999994,0.0
2025-04-11,9:30-9:40,0.0,-0.0,0.0,1200.0,1200.0,-538.7668166666667,0.0,538.7668166666667,0.0
2025-04-11,9:40-9:50,0.0,-0.0,0.0,1200.0,1200.0,-558.8028833333333,0.0,558.8028833333333,0.0
2025-04-11,9:50-10:00,0.0,-0.0,0.0,1200.0,1200.0,-514.9020833333333,0.0,514.9020833333333,0.0
2025-04-11,10:00-10:10,0.0,-0.0,0.0,1200.0,1200.0,-553.2786833333332,0.0,553.2786833333332,0.0
2025-04-11,10:10-10:20,0.0,-0.0,0.0,1200.0,1200.0,-617.3377166666666,0.0,617.3377166666666,0.0
2025-04-11,10:20-10:30,0.0,-0.0,0.0,1200.0,1200.0,-649.8445833333332,0.0,649.8445833333332,0.0
2025-04-11,10:30-10:40,0.0,-0.0,0.0,1200.0,1200.0,-652.8232999999999,0.0,652.8232999999999,0.0
2025-04-11,10:40-10:50,0.0,-0.0,0.0,1200.0,1200.0,-657.0219166666666,0.0,657.0219166666666,0.0
2025-04-11,10:50-11:00,0.0,-0.0,0.0,1200.0,1200.0,-697.6825,0.0,697.6825,0.0
2025-04-11,11:00-11:10,0.0,-0.0,0.0,1200.0,1200.0,-777.7267499999999,0.0,777.7267499999999,0.0
2025-04-11,11:10-11:20,0.0,0.0,0.0,1200.0,1200.0,-786.3133833333333,0.0,786.3133833333333,0.0
2025-04-11,11:20-11:30,0.0,500.7833514154249,0.0,1200.0,1650.7050162738824,-744.7670833333334,0.0,243.98373191790853,0.0
2025-04-11,11:30-11:40,0.0,0.0,0.0,1650.7050162738824,1650.7050162738824,-782.0226833333334,0.0,782.0226833333334,0.0
