date,uniform56,half_life7,half_life14,half_life28,uniform28,uniform42
2025-09-28,1227.2810888112542,1322.950237497379,1285.1422427191699,1270.9831040941506,1263.7091634165438,1282.6809794945834
2025-09-29,1516.4134207605293,1447.0699921792573,1469.3306035022324,1502.01273343754,1490.1753446719,1543.4474133497365
2025-09-30,1282.3331602564006,1356.2586757027993,1300.9423067504047,1297.354411536199,1353.4059760339383,1284.2042257392725
2025-10-01,3312.0787659084617,3351.022979186676,3331.3719006827396,3338.372781407235,3356.0834529152485,3347.4425695817426
2025-10-02,2739.540844477484,2745.2383505402563,2752.96276701914,2750.2252895265547,2815.953129300427,2745.5048719188158
2025-10-03,2133.6545867824543,2044.158608424632,2101.764846457296,2124.7460707964374,2201.824199861512,2113.654379405151
2025-10-04,1302.8039462628412,1267.7086591483376,1290.2466494470805,1301.5460356085644,1415.5426107421795,1266.642447375361
2025-10-05,1737.6782276355939,1535.1778088977308,1634.8225104023868,1699.5130403105313,1771.4648850657227,1668.5412542431359
2025-10-06,1130.1202296031424,1059.7827651127463,1075.615900850541,1110.063675522341,1175.9509802140917,1072.1944500748032
2025-10-07,1059.0969283735035,1124.0879591656387,1104.9780502578376,1062.1732098350776,1128.5507554491373,1029.3919956586747
2025-10-08,1329.36580707126,1356.9983025022648,1316.2244294120592,1323.500217536323,1307.9473777050591,1284.886001044312
2025-10-09,1158.0757969244185,1126.8914036917267,1110.36995152184,1109.3944438772955,1123.9541015322245,1120.5744809137268
2025-10-10,1392.1083578080584,1327.1368667882925,1336.065380053655,1372.0206564047417,1392.2229635952713,1362.716437721265
2025-10-11,1060.8159790431114,1226.0318608601287,1120.6096316862,1086.064064802661,1075.6126935106745,1120.4665051564818
2025-10-12,1291.3582993784157,1470.8956328228182,1373.3641013716492,1326.051035925868,1360.4402813920892,1385.5010626553376
2025-10-13,1234.186553653632,1147.8420929121812,1180.9070743289583,1212.7172559345431,1224.6169224863315,1210.1926807841478
2025-10-14,1048.9253394233165,1227.0189304518865,1136.6347188442342,1103.2699072613436,1155.3117516256737,1127.62548156779
2025-10-15,1587.756579053033,1611.168328299655,1623.4874199942474,1607.9032337186104,1658.2092729586184,1654.1185085793613
2025-10-16,1770.9008786924405,1667.8652010481774,1737.0155536194163,1750.8275067382542,1836.4828491263302,1800.454669828448
2025-10-17,1106.7065574026992,1045.703556277332,977.3123966585588,1024.450682894523,979.5303868082364,1079.7676342079963
2025-10-18,1198.601557765299,1175.2238626322962,1173.4626555341713,1189.3319354444834,1170.2008552405744,1252.5153595246097
2025-10-19,1111.0662810202325,1155.5376844175532,1142.9328947203105,1138.12857018358,1186.307192091629,1120.6319580681775
2025-10-20,1600.616118838634,1842.413997855786,1712.5037361710183,1646.6599756733065,1751.5990057093063,1654.1647119240042
2025-10-21,1136.1323849049984,1251.6438501411963,1181.8393076580392,1158.1076027469405,1233.5893188390364,1151.438392704254
2025-10-22,1757.7702353800596,1822.8756667257069,1839.8196855226436,1830.5553292809136,1925.1117578236237,1785.103307144986
2025-10-23,1256.9460227540148,1424.1289608140767,1347.3820070982651,1299.157171748423,1331.4300436765293,1243.9754520676406
2025-10-24,1301.5531818036234,1449.0627487519237,1387.3005458250218,1349.4872407669677,1388.1422927419985,1312.6147392563148
2025-10-25,1085.5811784218981,1141.0202761467672,1118.2350216304333,1112.0532918613326,1110.3075998772615,1106.8071595122633
2025-10-26,1217.429175942993,1229.5727261134411,1234.986514150426,1223.9484861293877,1184.7629280510591,1230.6817252626158
2025-10-27,1502.590499475964,1557.042198886396,1512.6297702658762,1515.1901207988014,1515.206673051167,1507.1541825968598
2025-10-28,1096.9243082449611,1101.803115251826,1090.7300073936353,1094.3537207058378,1074.3092799319747,1109.0738174566532
2025-10-29,1456.723452335277,1633.9812124932264,1506.0658307524031,1488.8103160345509,1611.0704804948703,1467.3209846713396
2025-10-30,1296.461754365162,1369.5252406221205,1328.2013999016199,1311.0376133925788,1314.5156079899125,1276.0987980398359
2025-10-31,993.155005169661,1012.271557370757,998.1359456022548,995.2188130320305,983.7756809036484,997.645551226573
2025-11-01,1042.1946166698049,1015.9312139384829,1008.7874403618409,1021.2973009481377,1000.4784908369777,973.0194330229447
